Unit,Name,Date (DD- MON- YYYY),Link,Type,Location,Place,Like Count (Masa Only),Cultural Site,Name of Site,Religious Theme,Name of Artifact,Desert,Nature,Name of lanscape,Wildlife,Name of Wildlife,Attire,Cuisine,Architecture,Name of Artifact,Megaevents/Festivals,Name of Event,Leisure Activity,Name of Activity ,Orientalism,
83,2,5- Dec-2022,https://www.instagram.com/p/ClyYfiohKib/,2,,0,"1,150",0,,0,,0,0,,0,,3,0,0,,1,Soundstorm,0,,1,
84,2,7- Dec-2022,https://www.instagram.com/p/Cl3JaA5KPjm/,1,,0,"1,661",0,,0,,0,0,,0,,0,0,1,King Abdulaziz Center of World Culture,0,,0,,1,
85,2,9- Dec-2022,https://www.instagram.com/p/Cl8KorLqUsv/,1,"Riyadh, Saudi Arabia",0,"2,693",0,,0,,0,0,,0,,0,0,1,,1,Riyadh Season,1,"live music, fireworks",1,
86,2,12- Dec-2022,https://www.instagram.com/p/CmDyMD3q6Je/,2,,0,688,0,,0,,0,1,reefs,1,fish,0,0,0,,0,,1,scuba diving,1,
87,2,13- Dec-2022,https://www.instagram.com/p/CmGTeyrq7eV/,1,Uqair Fort,1,981,1,Uqair fort,0,,0,0,,0,,0,0,0,,0,,0,,0,
88,2,14- Dec-2022,https://www.instagram.com/p/CmJcZWMMTKD/,1,Saudi Arabia,1,"1,601",1,Elephant rock,0,,0,1,,0,,2,0,0,,0,,0,,1,
89,2,16- Dec-2022,https://www.instagram.com/p/CmN82TbqzoK/,1,"AlUla, Saudi Arabia",1,"1,083",0,,0,,1,1,Stargazing,0,,1,0,0,,0,,1,luxury camping,1,
90,2,17- Dec-2022,https://www.instagram.com/p/CmQho47qIAe/,2,,0,"8,562",0,,0,,0,1,Mountain,0,,2,0,0,,0,,0,,1,
91,2,18- Dec-2022,https://www.instagram.com/p/CmUbcW3odU0/,1,,0,"6,715",0,,0,,0,0,,0,,2,0,0,,0,,0,,1,
92,2,19- Dec-2022,https://www.instagram.com/p/CmWwxT_oDcF/,1,Saudi Arabia,0,"1,558",0,,0,,0,0,,0,,3,0,0,,0,soccer,0,,1,
93,2,19- Dec-2022,https://www.instagram.com/p/CmW_uyYIgy5/,2,,0,860,0,,0,,0,0,,0,,3,0,0,,1,soccer,0,,1,
94,2,20- Dec-2022,https://www.instagram.com/p/CmYMlt9qGsJ/,2,,1,"1,337",1,Al Ahsa,0,,0,1,Mountain,0,,3,0,0,,0,,0,,1,
95,2,21- Dec-2022,https://www.instagram.com/p/Cma015mLSR7/,2,,0,"7,657",0,,0,,1,1,Mountain,0,,3,0,0,,0,,0,,1,
96,2,23- Dec-2022,https://www.instagram.com/p/Cmf-ZanMF1I/,2,,0,"1,594",0,,0,,0,1,Valley of palm trees,0,,0,0,0,,0,,0,,1,
97,2,24- Dec-2022,https://www.instagram.com/p/CmijMAws4NJ/,1,"AlUla, Saudi Arabia",1,"7,833",1,,0,,1,1,Sandstones,0,,0,0,0,,0,,1,desert camping,1,
98,2,27- Dec-2022,https://www.instagram.com/p/CmqRk2hKedJ/,2,,0,"1,189",0,,0,,0,0,,0,,0,0,1,,0,,1,Sky bridge,1,
99,2,29- Dec-2022,https://www.instagram.com/p/CmvbKPEO0rr/,1,Yanbu Industrial,0,"1,417",0,,0,,0,1,Red sea,0,,0,0,0,,0,,0,,1,
100,2,30- Dec-2022,https://www.instagram.com/p/Cmx_-VxuY7-/,2,,0,"1,012",0,,0,,0,1,Lush Mountains,0,,2,0,0,,0,,1,ziplining,1,
